post_id,post_title,post_author,post_content,post_category,post_tags,post_type,post_status,post_address,post_city,post_region,post_country,post_zip,post_latitude,post_longitude,Image,teachers
,Experience Yoga,1,Experience Iyengar Yoga style teaching in Jacksonville FL... Experience Yoga Studio offer small class instruction with emphasis in the precision and instructional techniques for all levels. Classes are taught in a style to help each students make a connection to the practice of Yoga so they can attain health strength balance and a peaceful inner being. With regular practice you can help calm your nervous system restore your energy balance and improve your internal response system... so you can function and feel healthier! Contact the Studio to experience this connective Yoga practice.,"Alignment, Chair Yoga, Core Strength, Gentle, Hatha, Iyengar Restorative, Senior, Yoga Therapy",,gd_yoga_studio,publish,13364 Beach Blvd.,Jacksonville,FL,United States,32224,30.2876,-81.4618,http://www.yogatrail.com/sites/default/files/styles/profiles/public/studio/104444/experience-yoga-1429645142.jpg?itok=GQg6Q4L6,"<ul class=""aside""><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/el-grabar-80318""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/teacher/80318/el-grabar-1429645045.jpg?itok=7-RjphDR"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/el-grabar-80318"">El Grabar</a></strong> </div> </li></ul>"
,Breathe Yoga and Wellness Center,1,"Breathe Yoga and Wellness Center is co-owned and operated by directors Stacey Vann Christa Parent and Tara Taylor with the support of an amazing team of teachers Massage, therapists and certified life coaches that make Breathe a place you can call home.","Aerial, Alignment, Ashtanga, Children's, Core Strength, Family, Flow, Gentle, Hatha, Hot, Kundalini, Power, Prenatal, Restorative, Senior, Special Needs, Thai, Yoga Massage, Yin",,gd_yoga_studio,publish,505 Adams Street,Pensacola,FL,United States,32502,30.4086898989899,-87.2100474747475,http://www.yogatrail.com/sites/default/files/styles/profiles/public/studio/72434/breathe-yoga-and-wellness-center.png?itok=s2fcOUZm,"<ul class=""aside""><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/lissa-dees-104192""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/teacher/104192/lissa-dees.jpg?itok=4T0oHbpz"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/lissa-dees-104192"">Lissa Dees</a></strong> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/divya-erin-elting-317355""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/teacher/317355/divya-erin-elting.jpg?itok=Wdawisg8"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/divya-erin-elting-317355"">Divya Erin Elting</a></strong> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/tara-taylor-327324""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/avatars/teachers_3.jpg?itok=aHLFnVQN"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/tara-taylor-327324"">Tara Taylor</a></strong> </div> </li></ul>"
,Yoga Matrix Studio,1,We are the premier yoga center in the Orlando area. Unlike other yoga spaces we offer an environment completely dedicated to the art of yoga.,,,gd_yoga_studio,publish,7601 Della Drive suite 5,Orlando,FL,United States,32819,28.4547,-81.4911,http://www.yogatrail.com/sites/default/files/styles/profiles/public/avatars/studios_1.jpg?itok=jDJmtEjP,"<ul class=""aside""><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/edely-wallace-110439""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/avatars/teachers_4.jpg?itok=ECrSa7cI"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/edely-wallace-110439"">Edely Wallace</a></strong> </div> </li></ul>"
,Bay & Bee,1,Bay & Bee is a contemporary play space for parents to enjoy play with their young children (birth to 5 years).,"Children's, Family, Mom & Baby, Prenatal",,gd_yoga_studio,publish,13475 Atlantic Blvd,Jacksonville,FL,United States,32225,30.3207283543568,-81.4525075114806,http://www.yogatrail.com/sites/default/files/styles/profiles/public/studio/151710/bay-bee.png?itok=gQAEvMDs,
,Altamonte Springs Yoga,1,At Altamonte Springs Yoga it is our mission to honor and embrace each student's journey to personal growth wellbeing and health and happiness by offering the highest quality yoga programs to people of all ages and from all walks of life. We do this with love compassion and a BIG dose of humor!,"Alignment, Flow, Hatha, Hot, Iyengar Meditation, Power, Prenatal, Restorative, Vinyasa, Yin",,gd_yoga_studio,publish,249 West State Road 436 #1085,Altamonte Springs,FL,United States,32714,28.6618,-81.3936,http://www.yogatrail.com/sites/default/files/styles/profiles/public/avatars/studios_3.jpg?itok=jKQkAs6o,"<ul class=""aside""><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/asha-morales-136762""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/teacher/136762/asha-morales.jpg?itok=1VMZSPXw"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/asha-morales-136762"">Asha Morales</a></strong> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/kirsten-warner-401926""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/teacher/401926/kirsten-warner.jpg?itok=cqrw297t"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/kirsten-warner-401926"">Kirsten Warner</a></strong> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/alexis-martin-827186""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/teacher/827186/alexis-martin-1422900212.jpeg?itok=GA2LuneP"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/alexis-martin-827186"">Alexis Martin</a></strong> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/mylinda-morales-115296""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/avatars/teachers_3.jpg?itok=aHLFnVQN"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/mylinda-morales-115296"">MyLinda Morales</a></strong> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/ken-johnson-141503""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/avatars/teachers_1.jpg?itok=DJUCQPPQ"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/ken-johnson-141503"">Ken Johnson</a></strong> </div> </li></ul>"
,Merritt Island Yoga,1,Yoga Tai Chi Qigong Pilates Belly Dance and more!,"Hatha, Vinyasa",,gd_yoga_studio,publish,729 N Courtenay Pkwy,Merritt Island,FL,United States,32953,28.3695547297297,-80.7003,http://www.yogatrail.com/sites/default/files/styles/profiles/public/studio/74252/merritt-island-yoga.jpg?itok=tAK3tsu2,"<ul class=""aside""><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/maddie-mcdonald-184779""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/teacher/184779/maddie-mcdonald.jpg?itok=lIWSvMBw"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/maddie-mcdonald-184779"">Maddie McDonald</a></strong> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/kim-bolinger-107156""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/avatars/teachers_2.jpg?itok=WGpQ44ZP"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/kim-bolinger-107156"">Kim Bolinger</a></strong> </div> </li></ul>"
,Go Yoga Amelia Island,1,"We are Yoga in The Purest Sense. Go Yoga adheres to the ancient tradition of Hatha, Vinyasa, Style Yoga. Our teachers are dedicated to gently guiding new students to the path of yoga with prana (breath) asana(poses) and atman(spirit/soul). We care for the inside of you as well as the outside. We have a broad selection of Beginners Fundamentals Intermediate and a few Hot, Power, classes to cover all levels. Our studio is easy to find on A1A (2244 S. 8th Street Amelia Island) we have loaner mats as well as professional Manduka & Jade mats for sale. We offer 200Hr. Teacher Training Certification twice a year Oceanside Yoga Chakra Clearing Meditation, Cancle Light Yoga on Sunday nights Daily Vinyasa, Flow, and much more. Our beautiful studio reflects the easy style of travels India all our teachers are ""Certified & Insured"". Returning Military from Combat are always FREE. Drop in class $15. Visitors 5 Class Pass $55.","Aerial, Alignment, Anusara, Chair Yoga, Children's, Core Strength, Corporate, Family, Flow, Hot, ISHTA Jivamukti Kripalu, Laughter Yoga Meditation, Power, Restorative, Senior, Sivananda, Vinyasa, Yin,Yoga Therapy",,gd_yoga_studio,publish,2244 South 8th Street,Fernandina Beach AMELIA ISLAND FL,FL,United States,32034,30.6582,-81.4607,http://www.yogatrail.com/sites/default/files/styles/profiles/public/studio/109489/go-yoga-amelia-island.gif?itok=pFtfZ34A,"<ul class=""aside""><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/gianna-suarez-109488""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/avatars/teachers_4.jpg?itok=ECrSa7cI"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/gianna-suarez-109488"">Gianna Suarez</a></strong> </div> </li></ul>"
,Dharma Holistic Center,1,"Dharma Holistic Center offers many types of Yoga to choose from as well as Meditation, classes in group and private class settings. Our beautiful center provides a spacious Zen peaceful environment to practice. Ashtanga, Hatha, Hot, Yoga Power, Laughter Yoga Yoga Nidra Restorative, Yoga Pranayama Guided Meditation, Couple's Yoga Therapeutic Yoga Ayurveda Consultation Senior/Chair Yoga, Kids Yoga","Ashtanga, Chair Yoga, Core Strength, Corporate, Flow, Hatha, Hot, Laughter Yoga Power, Restorative, Senior, Special Needs",,gd_yoga_studio,publish,8260 NW 27 street #410,Doral,FL,United States,33122,25.7997,-80.3357786202911,http://www.yogatrail.com/sites/default/files/styles/profiles/public/studio/1175661/dharma-holistic-center-1435957547.jpg?itok=_UaxK8qW,"<ul class=""aside""><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/carole-amaddio-1175660""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/teacher/1175660/carole-amaddio-1427336096.jpg?itok=kyZpq-aQ"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/carole-amaddio-1175660"">Carole Amaddio</a></strong> </div> </li></ul>"
,BodyInUnity Inc. Yoga,1,BodyInUnity transforms exercise into a time of praise worship prayer and meditation; attending to mind body and spirit. We move to music with gratitude for what we are able to do today and offer our bodies as living sacrifices in service to God.,"Alignment, Core Strength, Family, Senior",,gd_yoga_studio,publish,379 E Broadway,Oviedo,FL,United States,32765,28.5473542365878,-81.3724,http://www.yogatrail.com/sites/default/files/styles/profiles/public/studio/138973/bodyinunity-inc.yoga-1420953555.jpg?itok=pIeff5Gs,"<ul class=""aside""><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/kristen-johnson-142736""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/teacher/142736/kristen-johnson.jpg?itok=63vLGFsK"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/kristen-johnson-142736"">Kristen Johnson</a></strong> </div> </li></ul>"
,Everything Zen Yoga,1,"As the name implies Everything Zen Yoga wants to add a little zen to your life. Everything Zen Yoga is a yoga studio that was created to bring everyone of all shapes sizes and abilities a place to calm the mind relax the body and enjoy life. We not only offer holistic healing yoga classes but have strength building advanced practices and offer deep Restorative, yin. Everything Zen Yoga also offers a 200-hr Yoga Teacher Training Certification that is Registered with the Yoga Alliance. Our certified instructors guide with passion and knowledge and believe in learning for life.","Ashtanga, Core Strength, Flow, Gentle, Hatha, Meditation, Power, Prenatal, Restorative, Senior, Vinyasa, Yin",,gd_yoga_studio,publish,801 WOODBURY RD Suite 101,ORLANDO,FL,United States,32828,28.5529950310559,-81.1948,http://www.yogatrail.com/sites/default/files/styles/profiles/public/studio/140339/everything-zen-yoga.jpg?itok=1pzPcv2w,"<ul class=""aside""><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/rose-batignani-142733""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/teacher/142733/rose-batignani.jpg?itok=1mEQvPZh"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/rose-batignani-142733"">Rose Batignani</a></strong> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/monica-stone-142821""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/teacher/142821/monica-stone.jpg?itok=_vhHxFAY"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/monica-stone-142821"">Monica Stone</a></strong><div class=""stars""><span class=""average"" style=""width: 100%;"">Average: 5.0</span><span class=""all-stars""> of 5 stars</span></div><p class=""count""><strong>3</strong> <a href=""/teacher/monica-stone-142821/reviews"">Reviews</a></p> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/traci-haynie-152146""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/teacher/152146/traci-haynie.jpeg?itok=9qsyrwLZ"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/traci-haynie-152146"">Traci Haynie</a></strong> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/katie-brandes-325330""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/teacher/325330/katie-brandes.jpg?itok=Vyq6_yON"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/katie-brandes-325330"">Katie Brandes</a></strong> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/dalia-stoffer-445511""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/teacher/445511/dalia-stoffer.jpg?itok=0Zc9Zs5r"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/dalia-stoffer-445511"">Dalia Stoffer</a></strong><div class=""stars""><span class=""average"" style=""width: 100%;"">Average: 5.0</span><span class=""all-stars""> of 5 stars</span></div><p class=""count""><strong>1</strong> <a href=""/teacher/dalia-stoffer-445511/reviews"">Review</a></p> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/frank-de-la-cruz-754381""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/teacher/754381/frank-de-la-cruz-1422478070.jpg?itok=6ZUBjzjO"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/frank-de-la-cruz-754381"">Frank de la Cruz</a></strong> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/vanessa-cutting-658455""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/avatars/teachers_1.jpg?itok=DJUCQPPQ"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/vanessa-cutting-658455"">Vanessa Cutting</a></strong> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/jennifer-falagrady-katona-793635""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/avatars/teachers_4.jpg?itok=ECrSa7cI"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/jennifer-falagrady-katona-793635"">Jennifer Falagrady-Katona</a></strong> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/stephanie-barber-793666""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/avatars/teachers_3.jpg?itok=aHLFnVQN"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/stephanie-barber-793666"">Stephanie Barber</a></strong> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/kirsten-haslett-793682""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/avatars/teachers_1.jpg?itok=DJUCQPPQ"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/kirsten-haslett-793682"">Kirsten Haslett</a></strong> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/maria-marcano-793690""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/avatars/teachers_3.jpg?itok=aHLFnVQN"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/maria-marcano-793690"">Maria Marcano</a></strong> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/shelley-easter-793706""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/avatars/teachers_1.jpg?itok=DJUCQPPQ"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/shelley-easter-793706"">Shelley Easter</a></strong> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/lucy-patton-1198204""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/avatars/teachers_3.jpg?itok=aHLFnVQN"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/lucy-patton-1198204"">Lucy Patton</a></strong> </div> </li><li class=""clearfix""> <span class=""avatar""><a href=""/teacher/natalie-christine-1198277""><img src=""http://www.yogatrail.com/sites/default/files/styles/profiles_thumbnail/public/avatars/teachers_3.jpg?itok=aHLFnVQN"" width=""64"" height=""64"" alt="""" /></a></span> <div class=""wrap""> <strong class=""label""><a href=""/teacher/natalie-christine-1198277"">Natalie Christine</a></strong> </div> </li></ul>"
