post_id,post_title,post_author,post_content,post_category,post_tags,post_type,post_status,is_featured,package_id,expire_date,geodir_video,post_address,post_city,post_region,post_country,post_zip,post_latitude,post_longitude,geodir_timing,geodir_contact,geodir_email,geodir_website,geodir_twitter,geodir_facebook,geodir_video,geodir_special_offers,geodir_Staff,IMAGE,IMAGE,IMAGE,IMAGE,IMAGE
2259,"East-West Health Center",1,"Acupressure, Acupuncture, Addiction Treatments, Allergy Treatments, Biofeedback, Bioidentical Hormones, Blood Chemistry Analysis, Breathwork, Chelation Therapy, Chiropractors, Craniosacral Therapy, EMDR, Guided Imagery, Hair Analysis, Herbology, Homeopathy, Integrative Medicine, KinesiologyLaser Therapy, Life Coaching, Lymphatic Therapy, Magnetic Therapy, Massage, Therapy, Naturopathy, NaturopathyNeurofeedback, NHRT, Nutrition, Psychotherapy, Traditional Chinese Medicine, Tui Na, Wellness Centers","Acupressure,Acupuncture,Addiction Treatments,Allergy Treatments,Biofeedback,Bioidentical Hormones,Blood Chemistry Analysis,Breathwork,Chelation Therapy,Chiropractors,Craniosacral Therapy,EMDR,Guided Imagery,Hair Analysis,Herbology,Homeopathy,Integrative Medicine,KinesiologyLaser Therapy,Life Coaching,Lymphatic Therapy,Magnetic Therapy,Massage,Naturopathy,NaturopathyNeurofeedback,NHRT,Nutrition,Psychotherapy,Therapy,Traditional Chinese Medicine,Tui Na,Wellness Centers",,gd_healers,publish,,4,Never,,"8200 E. Belleview Avenue Suite 202-c. Central Tower","Greenwood Village",Colorado,"United States",80111,39.613,-104.878,,303-694-5757,,,,,,,,,,,,
2258,"Qvius Healing, Arts and Somiatric Wellness Center",1,"Ayurveda, Chiropractors, Craniosacral Therapy, Flower Essences, Herbology,  Homeopathy, Integrative Medicine, KinesiologyMassage Therapy, Naturopathy, NaturopathyNutrition, Reflexology, Traditional Chinese Medicine","Ayurveda,Chiropractors,Craniosacral Therapy,Flower Essences,Herbology,Homeopathy,Integrative Medicine,KinesiologyMassage Therapy,Naturopathy,NaturopathyNutrition,Reflexology,Traditional Chinese Medicine",,gd_healers,publish,,4,Never,,"3817 Sunny Ridge",Nampa,Idaho,"United States",83686,43.634,-116.4491,,208-461-7395,,,,,,,,,,,,
2257,"BioDental Healing",1,"Acupressure, Blood Chemistry Analysis, Chelation Therapy, Craniosacral Therapy, Hair Analysis, Holistic Dentistry, Integrative Medicine, Laser Therapy, Massage, Therapy, Naturopathy, NaturopathyNutrition","Acupressure,Blood Chemistry Analysis,Chelation Therapy,Craniosacral Therapy,Hair Analysis,Holistic Dentistry,Integrative Medicine,Laser Therapy,Massage,Naturopathy,NaturopathyNutrition,Therapy",,gd_healers,publish,,4,Never,,"1000 Newbury Rd. Suite 225","Newbury Park",California,"United States",91320,34.1824386046571,-118.902958139531,,805-375-2233,,,,,,,,,,,,
2256,"The Chakra Shoppe",1,"Aromatherapy, Astrological Counseling, Channeling, Crystal Therapy, Detoxification Foot Bath, Distance Healing, Energy Clearing, Energy Healing,  Flower Essences, Medium,  Metaphysics, Past Life Regression, Psychic, Reiki, Remote Healing, Sound Therapy, Spiritual Counseling","Aromatherapy,Astrological Counseling,Channeling,Crystal Therapy,Detoxification Foot Bath,Distance Healing,Energy Clearing,Energy Healing,Flower Essences,Intuitive / Psychic,Medium,Metaphysics,Past Life Regression,Reiki,Remote Healing,Sound Therapy,Spiritual Counseling",,gd_healers,publish,,4,Never,,"5034 N. Lincoln Ave.",Chicago,Illinois,"United States",60625,41.9726436711639,-87.6913454423797,,773-271-3054,,,,,,,,,,,,
2255,"The Mercy Center",1,"Craniosacral Therapy, EMDR, Healing, Touch, ,Massage Therapy, Meditation, Myofascial Release, Psychotherapy, Reflexology, Somatic Therapy, Spiritual Counseling, Therapeutic Touch, Kinesiology","Craniosacral Therapy,EMDR,Healing,Kinesiology,Massage Therapy,Meditation,Myofascial Release,Psychotherapy,Reflexology,Somatic Therapy,Spiritual Counseling,Therapeutic Touch,Touch",,gd_healers,publish,,4,Never,,"520 West Buena Ventura","Colorado Springs",Colorado,"United States",80907,38.855,-104.815057142857,,719-633-2302,,,,,,,,,,,,
2254,"CDM Spiritual Center",1,"Energy Clearing, Energy Healing,  Meditation, Psychic, Remote Healing","Energy Clearing,Energy Healing,Intuitive / Psychic,Meditation,Remote Healing",,gd_healers,publish,,4,Never,,"2402 Summit Ave",Everett,Washington,"United States",98201,47.9855667905564,-122.184,,425-258-1449,,,,,,,,,,,,
2253,"Alternative Wellness Center",1,"Allergy Treatments, Biofeedback, Breathwork, Colon Therapy, Color Therapy, Crystal Therapy, Detoxification Foot Bath, Distance Healing, Ear Coning, Energy Clearing, Energy Healing,  Feng Shui, Flower Essences, Guided Imagery, Healing, Touch, ,Herbology,  Homeopathy, Hypnotherapy, Integrative Medicine, KinesiologyLaser Therapy, L.I.F.E. System,Life Coaching, Lymphatic Therapy, Massage, Therapy, Medical Intuitive Meditation, Naturopathy, NaturopathyNeuro-Linguistic Programming, Neurofeedback, NHRT,  Nutrition, Polarity Therapy, Pranic Healing, Reflexology, Reiki, Remote Healing, Somatic Therapy, Stone Massage, TAT, Wellness Centers","Allergy Treatments,Biofeedback,Breathwork,Colon Therapy,Color Therapy,Crystal Therapy,Detoxification Foot Bath,Distance Healing,Ear Coning,Energy Clearing,Energy Healing,Feng Shui,Flower Essences,Guided Imagery,Healing,Herbology,Homeopathy,Hypnotherapy,Integrative Medicine,KinesiologyLaser Therapy,L.I.F.E. System,Life Coaching,Lymphatic Therapy,Massage,Medical Intuitive Meditation,Naturopathy,NaturopathyNeuro-Linguistic Programming,Neurofeedback,NHRT,Nutrition,Polarity Therapy,Pranic Healing,Reflexology,Reiki,Remote Healing,Somatic Therapy,Stone Massage,TAT,Therapy,Touch,Wellness Centers",,gd_healers,publish,,4,Never,,"9809 Candelaria NE Suite 1B",Albuquerque,"New Mexico","United States",87112,35.3115,-106.4331,,505-294-9355,,,,,,,,,,,,
2252,"Yo San University",1,"Herbology,  Tai Chi, , Traditional Chinese Medicine","Herbology,Tai Chi,Traditional Chinese Medicine",,gd_healers,publish,,4,Never,,"13315 W. Washington Blvd.","Los Angeles",California,"United States",90066,33.9931097787848,-118.442657879797,,310-577-3006,,,,,,,,,,,,
2251,"The Aura Shop",1,"Addiction Treatments, Allergy Treatments, Angel Readings, Astrological Counseling, Biofeedback, Breathwork, Channeling, Color Therapy, Crystal Therapy, Energy Clearing, Energy Healing,  EPFX/QXCI/SCIO Feng Shui, Guided Imagery, Light Therapy, Life Coaching, Meditation, Nutrition, Past Life Regression, Psychic, Reiki, Sound Therapy, Spiritual Counseling, Theta Healing","Addiction Treatments,Allergy Treatments,Angel Readings,Astrological Counseling,Biofeedback,Breathwork,Channeling,Color Therapy,Crystal Therapy,Energy Clearing,Energy Healing,EPFX/QXCI/SCIO Feng Shui,Guided Imagery,Intuitive / Psychic,Life Coaching,Light Therapy,Meditation,Nutrition,Past Life Regression,Reiki,Sound Therapy,Spiritual Counseling,Theta Healing",,gd_healers,publish,,4,Never,,"2914 Main Street","Santa Monica",California,"United States",90405,33.9990255228475,-118.480834030463,,310-584-9998,,,,,,,,,,,,
2250,"Midwest College of Oriental Medicine",1,"Acupressure, Acupuncture, Herbology,  Integrative Medicine, Magnetic Therapy,  Massage, Therapy, Nutrition, Tai Chi, , Traditional Chinese Medicine, Tui Na","Acupressure,Acupuncture,Herbology,Integrative Medicine,Magnetic Therapy,Massage,Nutrition,Tai Chi,Therapy,Traditional Chinese Medicine,Tui Na",,gd_healers,publish,,4,Never,,"909 West Montrose Suite102",Chicago,Illinois,"United States",60613,41.9569,-87.6543,,773-975-1295,,,,,,,,,,,,
